"","value"
"1","WMT.OQ"
"2","COST.OQ"
"3","KO.N"
"4","NESN.S"
"5","MCD.N"
"6","PEP.OQ"
"7","DE.N"
"8","SBUX.OQ"
"9","MNST.OQ"
"10","ATD.TO"
"11","TGT.N"
"12","DANO.PA"
"13","L.TO"
"14","WALMEX.MX"
"15","CCEP.OQ"
"16","YUM.N"
"17","NUTRESA.CN"
"18","SYY.N"
"19","TSCO.L"
"20","ADM.N"
"21","AD.AS"
"22","KR.N"
"23","HSY.N"
"24","2802.T"
"25","WOW.AX"
"26","CASY.OQ"
"27","LISN.S"
"28","WN.TO"
"29","8267.T"
"30","DLTR.OQ"
"31","600887.SS"
"32","DRI.N"
"33","TSN.N"
"34","GIS.N"
"35","6326.T"
"36","ABF.L"
"37","KYGa.I"
"38","MKC.N"
"39","CARR.PA"
"40","BIMBOA.MX"
"41","1216.TW"
"42","BRIT.NS"
"43","HRL.N"
"44","MRU.TO"
"45","JMT.LS"
"46","COKE.OQ"
"47","000895.SZ"
"48","TACN.NS"
"49","SAP.TO"
"50","MRCO.NS"
"51","JOPH.AM"
"52","ORK.OL"
"53","LOTB.BR"
"54","MKS.L"
"55","SHPJ.J"
"56","MOWI.OL"
"57","2801.T"
"58","SBRY.L"
"59","DAR.N"
"60","7550.T"
"61","TTC.N"
"62","EXHO.PA"
"63","KESKOB.HE"
"64","AGCO.N"
"65","BARN.S"
"66","0322.HK"
"67","2912.TW"
"68","600096.SS"
"69","EMPa.TO"
"70","EAT.N"
"71","2875.T"
"72","CPB.OQ"
"73","GL9.I"
"74","CAG.N"
"75","IOIB.KL"
"76","CORF.NS"
"77","ICL.TA"
"78","INGR.N"
"79","AXFO.ST"
"80","KLKK.KL"
"81","PSMT.OQ"
"82","FCTL.NS"
"83","003230.KS"
"84","CPF.BK"
"85","000893.SZ"
"86","GRUMAB.MX"
"87","2267.T"
"88","2897.T"
"89","UPLL.NS"
"90","UTPS.KL"
"91","NESM.KL"
"92","SIGMAFA.MX"
"93","LOUP.PA"
"94","COLR.BR"
"95","YSO.LS"
"96","DFIR.SI"
"97","PAFO.NS"
"98","APOT.AM"
"99","000876.SZ"
"100","2579.T"
"101","2212.T"
"102","STRS.TA"
"103","SEB.A"
"104","SAE.TA"
"105","CALM.OQ"
"106","CWK.L"
"107","2809.T"
"108","SMG.N"
"109","CAKE.OQ"
"110","2282.T"
"111","600737.SS"
"112","2002.T"
"113","2871.T"
"114","QRES.KL"
"115","ESCO.NS"
"116","TATE.L"
"117","PEPT.KL"
"118","GUBRF.IS"
"119","INDF.JK"
"120","EBRO.MC"
"121","PBH.TO"
"122","MZTI.OQ"
"123","SORIANAB.MX"
"124","FIZZ.OQ"
"125","VIS.MC"
"126","TBSJ.J"
"127","FAUF.PSX"
"128","TR.N"
"129","CPIN.JK"
"130","600186.SS"
"131","2264.T"
"132","0142.HK"
"133","MFI.TO"
"134","SDFGn.DE"
"135","JFC.PS"
"136","GAGR.SI"
"137","FRAS.KL"
"138","SZUG.DE"
"139","KENT.IS"
"140","MGROS.IS"
"141","000833.SZ"
"142","1332.T"
"143","SCHO.CO"
"144","MTS.AX"
"145","417A.T"
"146","ANDE.OQ"
"147","1229.TW"
"148","2206.T"
"149","2607.T"
"150","2810.T"
"151","000902.SZ"
"152","URC.PS"
"153","8242.T"
"154","2050.SE"
"155","GNC.L"
"156","MYOR.JK"
"157","600872.SS"
"158","GRG.L"
"159","SPAB.BR"
"160","000422.SZ"
"161","DPFE.NS"
"162","AVIJ.J"
"163","ALICORC1.LM"
"164","ALG.N"
"165","ALSEA.MX"
"166","WMK.N"
"167","CSR.CS"
"168","CHMB.NS"
"169","2593.T"
"170","600827.SS"
"171","000553.SZ"
"172","ILCO.TA"
"173","7581.T"
"174","600113.SS"
"175","TFMAMA.BK"
"176","FLO.N"
"177","EXITO.CN"
"178","ABUK.CA"
"179","BJC.BK"
"180","IMKTA.OQ"
"181","UIE.CO"
"182","000048.SZ"
"183","026960.KS"
"184","NWC.TO"
"185","000061.SZ"
"186","FRNM.SI"
"187","1210.TW"
"188","2811.T"
"189","TU.BK"
"190","CENTEL.BK"
"191","WEN.OQ"
"192","2001.T"
"193","1722.TW"
"194","600882.SS"
"195","004370.KS"
"196","2201.T"
"197","FMC.N"
"198","JJSF.OQ"
"199","BELL.S"
"200","EIDP.NS"
"201","8194.T"
"202","DMC.N"
"203","JPFA.JK"
"204","9861.T"
"205","PODR.ZA"
"206","SFBT.TN"
"207","FEMP.SI"
"208","9869.T"
"209","9948.T"
"210","BJRI.OQ"
"211","BACH.NS"
"212","ENGO.PSX"
"213","7616.T"
"214","MLKP.PSX"
"215","GENP.KL"
"216","000848.SZ"
"217","SENEA.OQ"
"218","1377.T"
"219","9936.T"
"220","0297.HK"
"221","LNN.N"
"222","0506.HK"
"223","PZZA.OQ"
"224","BBRM.NS"
"225","600866.SS"
"226","2602.T"
"227","SOPS.KL"
"228","CBRL.OQ"
"229","ADES.JK"
"230","SIFB.BR"
"231","8278.T"
"232","600078.SS"
"233","SAVEN.PA"
"234","2815.T"
"235","MPE.L"
"236","ZHCD.QA"
"237","LASa.TO"
"238","HERDEZ.MX"
"239","001800.KS"
"240","LES.CS"
"241","JBSS.OQ"
"242","1215.TW"
