,Instrument,Date,Price Close,Country of Exchange,Earnings Quality Region,GICS Sub-Industry Name,Company Market Capitalization,Net Income after Minority Interest,Property Plant & Equipment - Net - Total,Revenue from Business Activities - Total,Cash & Short Term Investments,Loans & Receivables - Total,Intangible Assets,Total Assets,Dividends Paid - Cash - Total - Cash Flow,Common Stock Buyback - Net,Shareholders Equity - Common,Capital Expenditures - Total,Debt - Long-Term - Total,Short-Term Debt & Notes Payable
0,WMT.OQ,2000-06-30,19.208314125,United States of America,North America,Consumer Staples Merchandise Retail,257288260471.277,5571000000.0,35969000000.0,166803000000.0,1856000000.0,1341000000.0,,70349000000.0,890000000.0,101000000.0,25834000000.0,6183000000.0,16674000000.0,3323000000.0
1,WMT.OQ,2001-06-29,16.2666504,,,,218182504160.123,9645000000.0,40934000000.0,193116000000.0,2054000000.0,1768000000.0,,78130000000.0,1070000000.0,-388000000.0,31343000000.0,8042000000.0,15655000000.0,2286000000.0
2,WMT.OQ,2002-07-01,18.1333152,,,,241973142727.388,6592000000.0,45750000000.0,205823000000.0,2161000000.0,2000000000.0,,83527000000.0,1249000000.0,1214000000.0,35102000000.0,8285000000.0,18732000000.0,743000000.0
3,WMT.OQ,2003-07-01,18.11664855,,,,237993995457.813,7955000000.0,51374000000.0,231577000000.0,2736000000.0,1569000000.0,,94808000000.0,1328000000.0,3383000000.0,39461000000.0,9245000000.0,19597000000.0,1079000000.0
4,WMT.OQ,2004-07-01,17.24998275,,,,220985616767.177,9054000000.0,59023000000.0,258681000000.0,5199000000.0,1254000000.0,,105405000000.0,1569000000.0,5046000000.0,43623000000.0,10308000000.0,20099000000.0,3267000000.0
5,WMT.OQ,2005-07-01,16.09331724,,,,201907797977.222,10267000000.0,68118000000.0,284310000000.0,5488000000.0,1715000000.0,,120154000000.0,2214000000.0,4549000000.0,49396000000.0,12803000000.0,23258000000.0,3812000000.0
6,WMT.OQ,2006-06-30,16.05665061,,,,200761548841.643,11231000000.0,77865000000.0,312101000000.0,6193000000.0,2575000000.0,,138187000000.0,2511000000.0,3580000000.0,53171000000.0,14530000000.0,30096000000.0,3754000000.0
7,WMT.OQ,2007-06-29,16.03665063,,,,197673101793.898,11284000000.0,88440000000.0,348368000000.0,7767000000.0,2840000000.0,,151587000000.0,2802000000.0,1718000000.0,61573000000.0,15666000000.0,30735000000.0,2570000000.0
8,WMT.OQ,2008-07-01,19.00998099,,,,224910244346.673,12731000000.0,96867000000.0,377023000000.0,5492000000.0,3642000000.0,,163514000000.0,3586000000.0,7691000000.0,64608000000.0,14937000000.0,33402000000.0,5040000000.0
9,WMT.OQ,2009-07-01,16.12331721,,,,188479209439.75,13381000000.0,95653000000.0,404254000000.0,7275000000.0,3905000000.0,,163429000000.0,3746000000.0,3521000000.0,65285000000.0,11499000000.0,34549000000.0,1506000000.0
