"","Date","a","Region"
"1",2000,17.7985369838932,"Total"
"2",2001,19.3670178633697,"Total"
"3",2002,18.7231975977008,"Total"
"4",2003,19.5829162229199,"Total"
"5",2004,18.5280092147847,"Total"
"6",2005,16.1933789098382,"Total"
"7",2006,16.175441184475,"Total"
"8",2007,16.693315634132,"Total"
"9",2008,18.3420851731843,"Total"
"10",2009,16.111793536181,"Total"
"11",2010,17.0968512871209,"Total"
"12",2011,16.2335605421388,"Total"
"13",2012,15.1021079206223,"Total"
"14",2013,14.8637030044542,"Total"
"15",2014,14.8725849298542,"Total"
"16",2015,15.3270554564231,"Total"
"17",2016,15.4731519019048,"Total"
"18",2017,14.8004926638609,"Total"
"19",2018,16.4988676157867,"Total"
"20",2019,17.7282486893505,"Total"
"21",2020,20.8444238438617,"Total"
"22",2021,20.5887571824437,"Total"
"23",2022,17.8956518372886,"Total"
"24",2023,17.1923064895845,"Total"
"25",2024,15.4668722099404,"Total"
"26",2025,16.8744891791181,"Total"
"27",2026,17.9294832539689,"Total"
"28",2000,16.597768409633,"Developed Asia and Oceanea"
"29",2001,16.266544590597,"Developed Asia and Oceanea"
"30",2002,18.7577663161867,"Developed Asia and Oceanea"
"31",2003,19.7368774815176,"Developed Asia and Oceanea"
"32",2004,18.2795787631959,"Developed Asia and Oceanea"
"33",2005,13.2285311662811,"Developed Asia and Oceanea"
"34",2006,11.8575635559011,"Developed Asia and Oceanea"
"35",2007,12.072493447631,"Developed Asia and Oceanea"
"36",2008,20.2763263559578,"Developed Asia and Oceanea"
"37",2009,15.7373827102793,"Developed Asia and Oceanea"
"38",2010,14.5975863723997,"Developed Asia and Oceanea"
"39",2011,13.0834018991626,"Developed Asia and Oceanea"
"40",2012,9.94230094530022,"Developed Asia and Oceanea"
"41",2013,9.46997297718802,"Developed Asia and Oceanea"
"42",2014,9.92505090769767,"Developed Asia and Oceanea"
"43",2015,9.38826845856461,"Developed Asia and Oceanea"
"44",2016,11.281356381934,"Developed Asia and Oceanea"
"45",2017,10.1490054611793,"Developed Asia and Oceanea"
"46",2018,10.7400725756317,"Developed Asia and Oceanea"
"47",2019,10.5987617060741,"Developed Asia and Oceanea"
"48",2020,13.5696347962801,"Developed Asia and Oceanea"
"49",2021,14.8791402245399,"Developed Asia and Oceanea"
"50",2022,15.1809365436468,"Developed Asia and Oceanea"
"51",2023,13.0759091163917,"Developed Asia and Oceanea"
"52",2024,10.2451509232108,"Developed Asia and Oceanea"
"53",2025,10.6936763917075,"Developed Asia and Oceanea"
"54",2026,10.8323370801588,"Developed Asia and Oceanea"
"55",2000,12.2431077585165,"Developed Europe"
"56",2001,15.0792828364453,"Developed Europe"
"57",2002,13.8488297364712,"Developed Europe"
"58",2003,13.8746025005185,"Developed Europe"
"59",2004,14.7156803739837,"Developed Europe"
"60",2005,15.5541526415991,"Developed Europe"
"61",2006,14.4011950332141,"Developed Europe"
"62",2007,15.4647363542054,"Developed Europe"
"63",2008,15.660656018035,"Developed Europe"
"64",2009,10.3897556756326,"Developed Europe"
"65",2010,16.69475788943,"Developed Europe"
"66",2011,13.8995419236011,"Developed Europe"
"67",2012,14.8575714165137,"Developed Europe"
"68",2013,13.5436337352886,"Developed Europe"
"69",2014,12.9343307165138,"Developed Europe"
"70",2015,14.1687131436233,"Developed Europe"
"71",2016,14.7883710570235,"Developed Europe"
"72",2017,15.4721237410316,"Developed Europe"
"73",2018,15.7833572920225,"Developed Europe"
"74",2019,16.6520303513067,"Developed Europe"
"75",2020,21.7101717336521,"Developed Europe"
"76",2021,22.7420013085611,"Developed Europe"
"77",2022,21.0903070059951,"Developed Europe"
"78",2023,17.8575634705655,"Developed Europe"
"79",2024,16.329036662498,"Developed Europe"
"80",2025,17.6519377917244,"Developed Europe"
"81",2026,18.0928966833353,"Developed Europe"
"82",2000,26.9754106209081,"Developing and Emerging Economies"
"83",2001,28.7335728292717,"Developing and Emerging Economies"
"84",2002,26.1972723493836,"Developing and Emerging Economies"
"85",2003,30.7768255089565,"Developing and Emerging Economies"
"86",2004,27.4133228187346,"Developing and Emerging Economies"
"87",2005,22.6700909806684,"Developing and Emerging Economies"
"88",2006,23.5982861033944,"Developing and Emerging Economies"
"89",2007,24.5008891996983,"Developing and Emerging Economies"
"90",2008,23.8173492653722,"Developing and Emerging Economies"
"91",2009,19.3883936227874,"Developing and Emerging Economies"
"92",2010,23.5692890817798,"Developing and Emerging Economies"
"93",2011,21.4221870522004,"Developing and Emerging Economies"
"94",2012,22.1333271282984,"Developing and Emerging Economies"
"95",2013,22.1690548036768,"Developing and Emerging Economies"
"96",2014,24.9826858749824,"Developing and Emerging Economies"
"97",2015,19.8094588383876,"Developing and Emerging Economies"
"98",2016,22.1565274422129,"Developing and Emerging Economies"
"99",2017,21.0502413343759,"Developing and Emerging Economies"
"100",2018,22.0584200250849,"Developing and Emerging Economies"
"101",2019,22.4921800588236,"Developing and Emerging Economies"
"102",2020,23.3465511158823,"Developing and Emerging Economies"
"103",2021,22.3956336700992,"Developing and Emerging Economies"
"104",2022,18.0583167209173,"Developing and Emerging Economies"
"105",2023,17.2685864458259,"Developing and Emerging Economies"
"106",2024,17.611432707449,"Developing and Emerging Economies"
"107",2025,17.6995947134293,"Developing and Emerging Economies"
"108",2026,18.9279056528807,"Developing and Emerging Economies"
"109",2000,18.2859845292838,"North America"
"110",2001,17.9284719708495,"North America"
"111",2002,16.8568881975814,"North America"
"112",2003,16.9285157011337,"North America"
"113",2004,15.1734032484867,"North America"
"114",2005,15.0998454586717,"North America"
"115",2006,11.4641104146933,"North America"
"116",2007,13.2222276817863,"North America"
"117",2008,13.9431745866325,"North America"
"118",2009,12.5401615500057,"North America"
"119",2010,11.8424034151399,"North America"
"120",2011,12.6709119190715,"North America"
"121",2012,14.6257006654846,"North America"
"122",2013,15.7042720052918,"North America"
"123",2014,15.1249891289141,"North America"
"124",2015,15.6817791058461,"North America"
"125",2016,14.8497934856486,"North America"
"126",2017,14.9433052322445,"North America"
"127",2018,17.1768937856555,"North America"
"128",2019,17.9661597372476,"North America"
"129",2020,20.0745494370365,"North America"
"130",2021,20.6375675713234,"North America"
"131",2022,19.0764212579157,"North America"
"132",2023,18.9574502383696,"North America"
"133",2024,19.299893683553,"North America"
"134",2025,18.0147620513169,"North America"
"135",2026,19.6164775326573,"North America"
