"","Date","a","Segment"
"1",2010-01-01,22.409406344577,"Total"
"2",2011-01-01,24.1457842003384,"Total"
"3",2012-01-01,23.0655241792839,"Total"
"4",2013-01-01,24.9783443008096,"Total"
"5",2014-01-01,25.8442086760616,"Total"
"6",2015-01-01,24.5005051658597,"Total"
"7",2016-01-01,26.8951802652594,"Total"
"8",2017-01-01,31.0471974372177,"Total"
"9",2018-01-01,33.9668746212455,"Total"
"10",2019-01-01,34.8663293871958,"Total"
"11",2020-01-01,33.6338846961042,"Total"
"12",2021-01-01,35.0229668379698,"Total"
"13",2022-01-01,30.2579759522891,"Total"
"14",2023-01-01,28.5886397145087,"Total"
"15",2024-01-01,29.993260470233,"Total"
"16",2025-01-01,30.6302090768773,"Total"
"17",2010-01-01,35.4027074934316,"Inputs"
"18",2011-01-01,34.6650654737121,"Inputs"
"19",2012-01-01,35.8033031350835,"Inputs"
"20",2013-01-01,41.9638802348241,"Inputs"
"21",2014-01-01,46.1653352364763,"Inputs"
"22",2015-01-01,40.9600940467416,"Inputs"
"23",2016-01-01,48.95351518548,"Inputs"
"24",2017-01-01,55.886447197464,"Inputs"
"25",2018-01-01,64.6283259339407,"Inputs"
"26",2019-01-01,52.8671775493641,"Inputs"
"27",2020-01-01,44.5360281766089,"Inputs"
"28",2021-01-01,37.3673115700465,"Inputs"
"29",2022-01-01,30.8695982305409,"Inputs"
"30",2023-01-01,31.1937069996457,"Inputs"
"31",2024-01-01,37.0647548037946,"Inputs"
"32",2025-01-01,40.4938628616759,"Inputs"
"33",2010-01-01,23.275510735616,"Production & Processing"
"34",2011-01-01,25.5010467952,"Production & Processing"
"35",2012-01-01,24.0428875050862,"Production & Processing"
"36",2013-01-01,26.3617681396059,"Production & Processing"
"37",2014-01-01,25.2278528235233,"Production & Processing"
"38",2015-01-01,24.4526536452461,"Production & Processing"
"39",2016-01-01,25.4506478578908,"Production & Processing"
"40",2017-01-01,28.165961308401,"Production & Processing"
"41",2018-01-01,30.7823259569666,"Production & Processing"
"42",2019-01-01,34.7937393671506,"Production & Processing"
"43",2020-01-01,32.6391549406953,"Production & Processing"
"44",2021-01-01,32.7436477634039,"Production & Processing"
"45",2022-01-01,29.5160979867825,"Production & Processing"
"46",2023-01-01,28.6443919428748,"Production & Processing"
"47",2024-01-01,29.3677743228911,"Production & Processing"
"48",2025-01-01,29.4415209023359,"Production & Processing"
"49",2010-01-01,12.6648023293512,"Wholesale & Retail"
"50",2011-01-01,12.1790061933834,"Wholesale & Retail"
"51",2012-01-01,10.9164214818471,"Wholesale & Retail"
"52",2013-01-01,11.2951640110655,"Wholesale & Retail"
"53",2014-01-01,14.9898048219397,"Wholesale & Retail"
"54",2015-01-01,13.4870158672557,"Wholesale & Retail"
"55",2016-01-01,17.4992541057869,"Wholesale & Retail"
"56",2017-01-01,21.972176081708,"Wholesale & Retail"
"57",2018-01-01,24.6128542810122,"Wholesale & Retail"
"58",2019-01-01,22.2600532693747,"Wholesale & Retail"
"59",2020-01-01,29.4041331887121,"Wholesale & Retail"
"60",2021-01-01,39.9398498201795,"Wholesale & Retail"
"61",2022-01-01,32.1878042941008,"Wholesale & Retail"
"62",2023-01-01,26.167776047663,"Wholesale & Retail"
"63",2024-01-01,26.9550003981613,"Wholesale & Retail"
"64",2025-01-01,27.2053727325334,"Wholesale & Retail"
