"","Date","a","Region"
"1",2000,24.4889878248833,"Total"
"2",2001,23.2713444139698,"Total"
"3",2002,22.1341588754062,"Total"
"4",2003,22.2831862061833,"Total"
"5",2004,22.682598960105,"Total"
"6",2005,23.1311422518692,"Total"
"7",2006,22.9267939828817,"Total"
"8",2007,21.3254218505211,"Total"
"9",2008,21.3758307347541,"Total"
"10",2009,22.3418891659312,"Total"
"11",2010,22.5304136253041,"Total"
"12",2011,23.7176412693037,"Total"
"13",2012,23.2838066578898,"Total"
"14",2013,23.0598152050575,"Total"
"15",2014,22.9764247728319,"Total"
"16",2015,21.8634013989268,"Total"
"17",2016,22.2399305015751,"Total"
"18",2017,22.7352148384348,"Total"
"19",2018,22.3388290781486,"Total"
"20",2019,21.4317729536241,"Total"
"21",2020,20.9607457255016,"Total"
"22",2021,21.9637515715987,"Total"
"23",2022,22.0461602116633,"Total"
"24",2023,20.9168399077536,"Total"
"25",2024,21.731754471383,"Total"
"26",2025,21.3542722779382,"Total"
"27",2026,20.9359452427333,"Total"
"28",2000,29.9753408761242,"Developed Asia and Oceanea"
"29",2001,30.5208945791662,"Developed Asia and Oceanea"
"30",2002,29.1807624842074,"Developed Asia and Oceanea"
"31",2003,27.5099773898488,"Developed Asia and Oceanea"
"32",2004,25.0429764284911,"Developed Asia and Oceanea"
"33",2005,25.4181992499456,"Developed Asia and Oceanea"
"34",2006,24.5133042958617,"Developed Asia and Oceanea"
"35",2007,25.7610458176724,"Developed Asia and Oceanea"
"36",2008,25.0925427642453,"Developed Asia and Oceanea"
"37",2009,24.5119523230597,"Developed Asia and Oceanea"
"38",2010,24.913207263116,"Developed Asia and Oceanea"
"39",2011,26.4318681157057,"Developed Asia and Oceanea"
"40",2012,26.3327332116617,"Developed Asia and Oceanea"
"41",2013,25.7628170402972,"Developed Asia and Oceanea"
"42",2014,25.4411990945254,"Developed Asia and Oceanea"
"43",2015,25.5122929618613,"Developed Asia and Oceanea"
"44",2016,26.9152560852618,"Developed Asia and Oceanea"
"45",2017,28.4338538864687,"Developed Asia and Oceanea"
"46",2018,28.2162402661948,"Developed Asia and Oceanea"
"47",2019,26.6998548644097,"Developed Asia and Oceanea"
"48",2020,26.1997048321168,"Developed Asia and Oceanea"
"49",2021,27.1103346962222,"Developed Asia and Oceanea"
"50",2022,27.6920577878018,"Developed Asia and Oceanea"
"51",2023,28.3833369887872,"Developed Asia and Oceanea"
"52",2024,28.4531937386208,"Developed Asia and Oceanea"
"53",2025,27.5201990599825,"Developed Asia and Oceanea"
"54",2026,26.7891312934226,"Developed Asia and Oceanea"
"55",2000,26.3140687788723,"Developed Europe"
"56",2001,27.7331507682946,"Developed Europe"
"57",2002,26.4954130725858,"Developed Europe"
"58",2003,25.9151339802206,"Developed Europe"
"59",2004,24.8933939182104,"Developed Europe"
"60",2005,23.326376778448,"Developed Europe"
"61",2006,23.4993486321275,"Developed Europe"
"62",2007,20.2991193114747,"Developed Europe"
"63",2008,20.9980549170183,"Developed Europe"
"64",2009,21.1761355822315,"Developed Europe"
"65",2010,21.610933663603,"Developed Europe"
"66",2011,21.8129051391772,"Developed Europe"
"67",2012,19.6869165841302,"Developed Europe"
"68",2013,20.4943546688655,"Developed Europe"
"69",2014,21.3914328650214,"Developed Europe"
"70",2015,20.1815930664465,"Developed Europe"
"71",2016,20.038747621519,"Developed Europe"
"72",2017,23.3684282184646,"Developed Europe"
"73",2018,21.1792415518671,"Developed Europe"
"74",2019,20.5754833351653,"Developed Europe"
"75",2020,20.0105157078386,"Developed Europe"
"76",2021,19.4200571915918,"Developed Europe"
"77",2022,21.51524119562,"Developed Europe"
"78",2023,22.267194218593,"Developed Europe"
"79",2024,21.1617046117922,"Developed Europe"
"80",2025,19.6812173487252,"Developed Europe"
"81",2026,18.7354952016559,"Developed Europe"
"82",2000,27.7252301626282,"Developing and Emerging Economies"
"83",2001,24.835195438342,"Developing and Emerging Economies"
"84",2002,22.3612171178492,"Developing and Emerging Economies"
"85",2003,23.3493987860486,"Developing and Emerging Economies"
"86",2004,24.539067667327,"Developing and Emerging Economies"
"87",2005,25.1798697174019,"Developing and Emerging Economies"
"88",2006,23.8363041113018,"Developing and Emerging Economies"
"89",2007,23.3996593489607,"Developing and Emerging Economies"
"90",2008,25.0816032106454,"Developing and Emerging Economies"
"91",2009,24.6349521696926,"Developing and Emerging Economies"
"92",2010,25.3729077917179,"Developing and Emerging Economies"
"93",2011,26.2825829257732,"Developing and Emerging Economies"
"94",2012,26.7624073077844,"Developing and Emerging Economies"
"95",2013,25.1496866817664,"Developing and Emerging Economies"
"96",2014,24.5522973744292,"Developing and Emerging Economies"
"97",2015,23.8408974508444,"Developing and Emerging Economies"
"98",2016,24.6117525572592,"Developing and Emerging Economies"
"99",2017,24.0094618568894,"Developing and Emerging Economies"
"100",2018,25.7524589250441,"Developing and Emerging Economies"
"101",2019,23.2702233572819,"Developing and Emerging Economies"
"102",2020,23.7404979799585,"Developing and Emerging Economies"
"103",2021,23.1761047945079,"Developing and Emerging Economies"
"104",2022,23.7287121266516,"Developing and Emerging Economies"
"105",2023,22.535824057043,"Developing and Emerging Economies"
"106",2024,23.2830228394775,"Developing and Emerging Economies"
"107",2025,23.0132571156438,"Developing and Emerging Economies"
"108",2026,22.9583059636272,"Developing and Emerging Economies"
"109",2000,15.1931407694194,"North America"
"110",2001,14.4630029079567,"North America"
"111",2002,14.6932668329177,"North America"
"112",2003,17.7475212713593,"North America"
"113",2004,14.9850086984059,"North America"
"114",2005,16.4700693301659,"North America"
"115",2006,16.7732716865183,"North America"
"116",2007,16.050785634327,"North America"
"117",2008,14.5959258630479,"North America"
"118",2009,14.8817799084232,"North America"
"119",2010,16.8035432506097,"North America"
"120",2011,19.0974730169039,"North America"
"121",2012,16.738684084372,"North America"
"122",2013,15.8648755268567,"North America"
"123",2014,18.4175712526086,"North America"
"124",2015,15.5166136799188,"North America"
"125",2016,16.8333253772981,"North America"
"126",2017,15.8240941548705,"North America"
"127",2018,15.5509361648691,"North America"
"128",2019,13.9277698428892,"North America"
"129",2020,13.8297191245677,"North America"
"130",2021,17.3560323565177,"North America"
"131",2022,15.3265947848636,"North America"
"132",2023,14.8300498227549,"North America"
"133",2024,15.2328259853271,"North America"
"134",2025,14.1487712668691,"North America"
"135",2026,12.9251359179924,"North America"
