"","Date","a","Segment"
"1",2010-01-01,25.1066753780753,"Total"
"2",2011-01-01,25.1713609383703,"Total"
"3",2012-01-01,25.2738407531045,"Total"
"4",2013-01-01,25.1997050105464,"Total"
"5",2014-01-01,25.087809174418,"Total"
"6",2015-01-01,24.175724656694,"Total"
"7",2016-01-01,23.9181154679134,"Total"
"8",2017-01-01,23.6535409859757,"Total"
"9",2018-01-01,24.1206320207095,"Total"
"10",2019-01-01,22.8432086532889,"Total"
"11",2020-01-01,22.3955764825215,"Total"
"12",2021-01-01,23.460529963882,"Total"
"13",2022-01-01,22.8929729906123,"Total"
"14",2023-01-01,22.7697895179274,"Total"
"15",2024-01-01,22.8793010682174,"Total"
"16",2025-01-01,22.5537023997857,"Total"
"17",2010-01-01,29.2980296145954,"Inputs"
"18",2011-01-01,31.1082386119454,"Inputs"
"19",2012-01-01,31.2903900146299,"Inputs"
"20",2013-01-01,33.8036611772806,"Inputs"
"21",2014-01-01,33.0774929755593,"Inputs"
"22",2015-01-01,29.5349186186128,"Inputs"
"23",2016-01-01,27.0554276527539,"Inputs"
"24",2017-01-01,27.4325452074099,"Inputs"
"25",2018-01-01,29.7240024963623,"Inputs"
"26",2019-01-01,28.4122010041754,"Inputs"
"27",2020-01-01,28.0774222485031,"Inputs"
"28",2021-01-01,29.1139292914764,"Inputs"
"29",2022-01-01,30.0315670980775,"Inputs"
"30",2023-01-01,30.1541198966049,"Inputs"
"31",2024-01-01,27.6987089669823,"Inputs"
"32",2025-01-01,27.0312435380551,"Inputs"
"33",2010-01-01,25.1069708830014,"Production & Processing"
"34",2011-01-01,24.4664109322849,"Production & Processing"
"35",2012-01-01,25.371767814276,"Production & Processing"
"36",2013-01-01,24.660674595812,"Production & Processing"
"37",2014-01-01,25.0405327064703,"Production & Processing"
"38",2015-01-01,24.3525809459895,"Production & Processing"
"39",2016-01-01,24.4521146129771,"Production & Processing"
"40",2017-01-01,23.8997223096348,"Production & Processing"
"41",2018-01-01,23.8604379838922,"Production & Processing"
"42",2019-01-01,22.6171142820728,"Production & Processing"
"43",2020-01-01,22.6443385749101,"Production & Processing"
"44",2021-01-01,23.3547012351262,"Production & Processing"
"45",2022-01-01,22.5713565179119,"Production & Processing"
"46",2023-01-01,22.5305637963701,"Production & Processing"
"47",2024-01-01,23.1873285844025,"Production & Processing"
"48",2025-01-01,23.1312028639378,"Production & Processing"
"49",2010-01-01,22.7773845951062,"Wholesale & Retail"
"50",2011-01-01,23.7007437280868,"Wholesale & Retail"
"51",2012-01-01,21.8093691051146,"Wholesale & Retail"
"52",2013-01-01,22.2164263346546,"Wholesale & Retail"
"53",2014-01-01,21.207781553149,"Wholesale & Retail"
"54",2015-01-01,20.9677615043882,"Wholesale & Retail"
"55",2016-01-01,20.9489023819429,"Wholesale & Retail"
"56",2017-01-01,21.0136211296311,"Wholesale & Retail"
"57",2018-01-01,21.7739578228817,"Wholesale & Retail"
"58",2019-01-01,20.4290932214117,"Wholesale & Retail"
"59",2020-01-01,18.7253831252672,"Wholesale & Retail"
"60",2021-01-01,20.6983848018594,"Wholesale & Retail"
"61",2022-01-01,19.8727673290781,"Wholesale & Retail"
"62",2023-01-01,19.4119625475292,"Wholesale & Retail"
"63",2024-01-01,19.5329071090627,"Wholesale & Retail"
"64",2025-01-01,18.7009559784728,"Wholesale & Retail"
