,Instrument,Company Common Name,Country of Exchange,Company Market Cap,GICS Sub-Industry Code,GICS Sub-Industry Name
111,WMT.OQ,Walmart Inc,United States of America,887644148948.7,30101040,Consumer Staples Merchandise Retail
76,COST.OQ,Costco Wholesale Corp,United States of America,420196166790.0,30101040,Consumer Staples Merchandise Retail
15,KO.N,Coca-Cola Co,United States of America,361623647232.9,30201030,Soft Drinks & Non-alcoholic Beverages
28,NESN.S,Nestle SA,Switzerland,272506687872.763,30202030,Packaged Foods & Meats
98,MCD.N,McDonald's Corp,United States of America,200511858468.39,25301040,Restaurants
63,PEP.OQ,PepsiCo Inc,United States of America,198154070308.7,30201030,Soft Drinks & Non-alcoholic Beverages
4,DE.N,Deere & Co,United States of America,162936929104.25,20106015,Agricultural & Farm Machinery
163,SBUX.OQ,Starbucks Corp,United States of America,118084317000.0,25301040,Restaurants
457,MNST.OQ,Monster Beverage Corp,United States of America,94788546021.2,30201030,Soft Drinks & Non-alcoholic Beverages
461,DASH.OQ,DoorDash Inc,United States of America,85278868269.84,25301040,Restaurants
265,MDLZ.OQ,Mondelez International Inc,United States of America,77301388908.52,30202030,Packaged Foods & Meats
472,3690.HK,Meituan,Hong Kong,63702840752.1073,25301040,Restaurants
70,ATD.TO,Alimentation Couche-Tard Inc,Canada,59379777955.525,30101030,Food Retail
507,9633.HK,Nongfu Spring Co Ltd,Hong Kong,58457473566.191,30201030,Soft Drinks & Non-alcoholic Beverages
501,CTVA.N,Corteva Inc,United States of America,58020135000.0,15101030,Fertilizers & Agricultural Chemicals
79,TGT.N,Target Corp,United States of America,57932076335.6,30101040,Consumer Staples Merchandise Retail
10,DANO.PA,Danone SA,France,57848319012.0463,30202030,Packaged Foods & Meats
16,CPG.L,Compass Group PLC,United Kingdom,55264378910.0,25301040,Restaurants
95,L.TO,Loblaw Companies Ltd,Canada,51467110939.531,30101030,Food Retail
156,WALMEX.MX,Wal Mart de Mexico SAB de CV,Mexico,49250958515.0422,30101040,Consumer Staples Merchandise Retail
469,CCEP.OQ,Coca-Cola Europacific Partners PLC,United States of America,47202678340.5,30201030,Soft Drinks & Non-alcoholic Beverages
240,YUM.N,Yum! Brands Inc,United States of America,46163795122.98,25301040,Restaurants
314,CMG.N,Chipotle Mexican Grill Inc,United States of America,44061912900.0,25301040,Restaurants
355,KDP.OQ,Keurig Dr Pepper Inc,United States of America,42844017741.79,30201030,Soft Drinks & Non-alcoholic Beverages
215,NUTRESA.CN,Grupo Nutresa SA,Colombia,42120818054.1532,30202030,Packaged Foods & Meats
107,SYY.N,Sysco Corp,United States of America,40463812288.96,30101020,Food Distributors
27,TSCO.L,Tesco PLC,United Kingdom,39449578609.1882,30101030,Food Retail
61,ADM.N,Archer-Daniels-Midland Co,United States of America,37689000411.4,30202010,Agricultural Products & Services
57,AD.AS,Koninklijke Ahold Delhaize NV,Netherlands,36642958597.1423,30101030,Food Retail
91,KR.N,Kroger Co,United States of America,35864371888.28,30101030,Food Retail
87,HSY.N,Hershey Co,United States of America,35690291303.4,30202030,Packaged Foods & Meats
30,2802.T,Ajinomoto Co Inc,Japan,34394771314.8991,30202030,Packaged Foods & Meats
152,WOW.AX,Woolworths Group Ltd,Australia,33768277951.5318,30101030,Food Retail
321,3382.T,Seven & i Holdings Co Ltd,Japan,32619213853.2297,30101030,Food Retail
493,NTR.TO,Nutrien Ltd,Canada,31335574803.9439,15101030,Fertilizers & Agricultural Chemicals
435,KHC.OQ,Kraft Heinz Co,United States of America,30000174241.4,30202030,Packaged Foods & Meats
126,NEST.NS,Nestle India Ltd,India,29752521398.2178,30202030,Packaged Foods & Meats
72,CASY.OQ,Caseys General Stores Inc,United States of America,29677570978.86,30101030,Food Retail
388,002714.SZ,Muyuan Foods Group Co Ltd,China,29591963594.0766,30202030,Packaged Foods & Meats
428,603288.SS,Foshan Haitian Flavouring and Food Co Ltd,China,29027490199.6859,30202030,Packaged Foods & Meats
22,LISN.S,Chocoladefabriken Lindt & Spruengli AG,Switzerland,28214865357.8529,30202030,Packaged Foods & Meats
421,ETEA.NS,Eternal Ltd,India,27892990843.9312,25301040,Restaurants
454,AVEU.NS,Avenue Supermarts Ltd,India,27835497932.3755,30101030,Food Retail
521,WN.TO,George Weston Ltd,Canada,26250175182.0551,30101030,Food Retail
453,QSR.N,Restaurant Brands International Inc,United States of America,25655994963.62,25301040,Restaurants
80,DG.N,Dollar General Corp,United States of America,25462316663.21,30101040,Consumer Staples Merchandise Retail
36,8267.T,Aeon Co Ltd,Japan,24986333059.1338,30101040,Consumer Staples Merchandise Retail
426,CCH.L,Coca-Cola HBC AG,United Kingdom,24575018058.6154,30201030,Soft Drinks & Non-alcoholic Beverages
203,DLTR.OQ,Dollar Tree Inc,United States of America,23570213218.2,30101040,Consumer Staples Merchandise Retail
212,600887.SS,Inner Mongolia Yili Industrial Group Co Ltd,China,23482438252.0888,30202030,Packaged Foods & Meats
202,DRI.N,Darden Restaurants Inc,United States of America,23422408113.5,25301040,Restaurants
433,USFD.N,US Foods Holding Corp,United States of America,22900850007.44,30101020,Food Distributors
74,COL.AX,Coles Group Ltd,Australia,21783672404.4353,30101030,Food Retail
536,BG.N,Bunge Global SA,United States of America,21518549134.65,30202010,Agricultural Products & Services
110,TSN.N,Tyson Foods Inc,United States of America,20712251425.64,30202030,Packaged Foods & Meats
238,000792.SZ,Qinghai Yanhu Industry Co Ltd,China,20664971812.7491,15101030,Fertilizers & Agricultural Chemicals
280,AC.MX,Arca Continental SAB de CV,Mexico,20196829070.2652,30201030,Soft Drinks & Non-alcoholic Beverages
84,GIS.N,General Mills Inc,United States of America,19800581491.6,30202030,Packaged Foods & Meats
418,300999.SZ,Yihai Kerry Arawana Holdings Co Ltd,China,19369097444.3901,30202030,Packaged Foods & Meats
39,6326.T,Kubota Corp,Japan,18996177133.5924,20106015,Agricultural & Farm Machinery
269,WLIL.SI,Wilmar International Ltd,Singapore,18582846422.7674,30202010,Agricultural Products & Services
13,ABF.L,Associated British Foods PLC,United Kingdom,18564314955.0768,30202030,Packaged Foods & Meats
452,PFGC.N,Performance Food Group Co,United States of America,18143877790.5,30101020,Food Distributors
316,CF.N,CF Industries Holdings Inc,United States of America,17658148753.56,15101030,Fertilizers & Agricultural Chemicals
364,VARB.NS,Varun Beverages Ltd,India,17171177533.4888,30201030,Soft Drinks & Non-alcoholic Beverages
216,000408.SZ,Zangge Mining Co Ltd,China,16295614131.6925,15101030,Fertilizers & Agricultural Chemicals
287,2020.SE,SABIC Agri-Nutrients Company SJSC,Saudi Arabia,15821771019.2016,15101030,Fertilizers & Agricultural Chemicals
21,KYGa.I,Kerry Group PLC,Ireland,15402958086.3258,30202030,Packaged Foods & Meats
362,ARMK.N,Aramark,United States of America,14770101689.88,25301040,Restaurants
480,YUMC.N,Yum China Holdings Inc,United States of America,14741002003.62,25301040,Restaurants
97,MKC.N,McCormick & Company Inc,United States of America,14039576009.46,30202030,Packaged Foods & Meats
11,CARR.PA,Carrefour SA,France,13907035757.1414,30101040,Consumer Staples Merchandise Retail
155,BIMBOA.MX,Grupo Bimbo SAB de CV,Mexico,13907024477.6558,30202030,Packaged Foods & Meats
141,1216.TW,Uni-President Enterprises Corp,Taiwan,13906040979.2814,30202030,Packaged Foods & Meats
