"","Date","a","SubRegion"
"1",2009-01-01,14.1887395861934,"Total"
"2",2010-01-01,14.0201191950234,"Total"
"3",2011-01-01,14.411494994916,"Total"
"4",2012-01-01,14.1066212681715,"Total"
"5",2013-01-01,14.6888414296312,"Total"
"6",2014-01-01,14.6064503660639,"Total"
"7",2015-01-01,15.1234747097953,"Total"
"8",2016-01-01,16.1422441373768,"Total"
"9",2017-01-01,16.54128024284,"Total"
"10",2018-01-01,16.933553057884,"Total"
"11",2019-01-01,17.6317022444428,"Total"
"12",2020-01-01,16.5408569571471,"Total"
"13",2021-01-01,16.0705388824272,"Total"
"14",2022-01-01,15.633604373805,"Total"
"15",2023-01-01,15.6312749666702,"Total"
"16",2024-01-01,15.5854162991892,"Total"
"17",2025-01-01,15.7036809845991,"Total"
"18",2009-01-01,7.63328514056473,"Asia Pacific"
"19",2010-01-01,6.33062135328974,"Asia Pacific"
"20",2011-01-01,6.94669492102183,"Asia Pacific"
"21",2012-01-01,5.92284229535978,"Asia Pacific"
"22",2013-01-01,5.63359340775033,"Asia Pacific"
"23",2014-01-01,6.63154739682003,"Asia Pacific"
"24",2015-01-01,6.44955173621095,"Asia Pacific"
"25",2016-01-01,7.52330166629633,"Asia Pacific"
"26",2017-01-01,7.11954197821294,"Asia Pacific"
"27",2018-01-01,6.92830095015533,"Asia Pacific"
"28",2019-01-01,7.07425367015372,"Asia Pacific"
"29",2020-01-01,6.52742764671981,"Asia Pacific"
"30",2021-01-01,6.31826513091753,"Asia Pacific"
"31",2022-01-01,6.86626569287929,"Asia Pacific"
"32",2023-01-01,7.03463540528104,"Asia Pacific"
"33",2024-01-01,7.53244265484901,"Asia Pacific"
"34",2025-01-01,7.58239341344242,"Asia Pacific"
"35",2009-01-01,22.8870346868773,"Developed Europe"
"36",2010-01-01,23.0902955288222,"Developed Europe"
"37",2011-01-01,21.6407010267525,"Developed Europe"
"38",2012-01-01,21.6684797529504,"Developed Europe"
"39",2013-01-01,21.422273163542,"Developed Europe"
"40",2014-01-01,19.5731067174936,"Developed Europe"
"41",2015-01-01,20.7527090335928,"Developed Europe"
"42",2016-01-01,21.5285908864664,"Developed Europe"
"43",2017-01-01,21.5876311212419,"Developed Europe"
"44",2018-01-01,22.2915024294252,"Developed Europe"
"45",2019-01-01,21.4080765375711,"Developed Europe"
"46",2020-01-01,20.3592283852067,"Developed Europe"
"47",2021-01-01,20.1317754964328,"Developed Europe"
"48",2022-01-01,19.4608391492308,"Developed Europe"
"49",2023-01-01,18.9702855334099,"Developed Europe"
"50",2024-01-01,18.7245978053345,"Developed Europe"
"51",2025-01-01,19.530701698343,"Developed Europe"
"52",2009-01-01,7.81985590344947,"Emerging Markets"
"53",2010-01-01,8.39488874318951,"Emerging Markets"
"54",2011-01-01,8.98456975072696,"Emerging Markets"
"55",2012-01-01,8.93374795399659,"Emerging Markets"
"56",2013-01-01,9.58752038670123,"Emerging Markets"
"57",2014-01-01,9.9014141057821,"Emerging Markets"
"58",2015-01-01,9.64777544829315,"Emerging Markets"
"59",2016-01-01,10.0470885515473,"Emerging Markets"
"60",2017-01-01,10.2504743947323,"Emerging Markets"
"61",2018-01-01,10.0246048720322,"Emerging Markets"
"62",2019-01-01,11.6407965482803,"Emerging Markets"
"63",2020-01-01,11.485535717489,"Emerging Markets"
"64",2021-01-01,11.4316078310604,"Emerging Markets"
"65",2022-01-01,10.9479509431682,"Emerging Markets"
"66",2023-01-01,11.0602728075461,"Emerging Markets"
"67",2024-01-01,11.0652950550971,"Emerging Markets"
"68",2025-01-01,11.2109175234251,"Emerging Markets"
"69",2009-01-01,18.8721326201585,"North America"
"70",2010-01-01,18.4880144936605,"North America"
"71",2011-01-01,20.5996577750861,"North America"
"72",2012-01-01,20.3994719557536,"North America"
"73",2013-01-01,22.0686793557607,"North America"
"74",2014-01-01,21.7939935265459,"North America"
"75",2015-01-01,23.0318785460742,"North America"
"76",2016-01-01,24.7785275846428,"North America"
"77",2017-01-01,26.2882472086696,"North America"
"78",2018-01-01,27.7689725166176,"North America"
"79",2019-01-01,28.9245007679709,"North America"
"80",2020-01-01,26.2563032858369,"North America"
"81",2021-01-01,25.1072030035349,"North America"
"82",2022-01-01,24.3932531033012,"North America"
"83",2023-01-01,24.2709924850114,"North America"
"84",2024-01-01,24.0028589430127,"North America"
"85",2025-01-01,23.8072788500448,"North America"
