"","Date","a","Segment"
"1",2000-01-01,16.0940029973796,"Total"
"2",2001-01-01,22.1495104898288,"Total"
"3",2002-01-01,14.6957820753544,"Total"
"4",2003-01-01,11.5305941406981,"Total"
"5",2004-01-01,9.87378083531807,"Total"
"6",2005-01-01,8.74048325671468,"Total"
"7",2006-01-01,8.45250080064176,"Total"
"8",2007-01-01,7.35550169550959,"Total"
"9",2008-01-01,9.0747667776551,"Total"
"10",2009-01-01,11.3557378051343,"Total"
"11",2010-01-01,7.37100546700579,"Total"
"12",2011-01-01,6.09816487855457,"Total"
"13",2012-01-01,8.13537240120165,"Total"
"14",2013-01-01,7.76240419452158,"Total"
"15",2014-01-01,6.71656925024772,"Total"
"16",2015-01-01,6.32629259775046,"Total"
"17",2016-01-01,6.13927060463035,"Total"
"18",2017-01-01,5.83260224767517,"Total"
"19",2018-01-01,6.1893979839244,"Total"
"20",2019-01-01,7.0862599484906,"Total"
"21",2020-01-01,8.62982132924866,"Total"
"22",2021-01-01,5.43604696585916,"Total"
"23",2022-01-01,6.46150964010177,"Total"
"24",2023-01-01,6.9432931146796,"Total"
"25",2024-01-01,6.74136444447308,"Total"
"26",2025-01-01,5.66679837268635,"Total"
"27",2026-01-01,6.1496092891452,"Total"
"28",2000-01-01,15.421917992236,"Inputs"
"29",2001-01-01,15.6541612692528,"Inputs"
"30",2002-01-01,6.95621303609039,"Inputs"
"31",2003-01-01,7.03646292405175,"Inputs"
"32",2004-01-01,6.01796768891838,"Inputs"
"33",2005-01-01,6.65582687131702,"Inputs"
"34",2006-01-01,7.99027844290156,"Inputs"
"35",2007-01-01,7.20596700284279,"Inputs"
"36",2008-01-01,6.32071189982393,"Inputs"
"37",2009-01-01,10.081410862578,"Inputs"
"38",2010-01-01,6.93920200081954,"Inputs"
"39",2011-01-01,5.10575798419848,"Inputs"
"40",2012-01-01,8.44659885809812,"Inputs"
"41",2013-01-01,8.85055878438401,"Inputs"
"42",2014-01-01,9.20639391625075,"Inputs"
"43",2015-01-01,7.84062392573972,"Inputs"
"44",2016-01-01,9.53602718652861,"Inputs"
"45",2017-01-01,8.96293575935068,"Inputs"
"46",2018-01-01,11.1777594791291,"Inputs"
"47",2019-01-01,11.777236046311,"Inputs"
"48",2020-01-01,14.3141271430586,"Inputs"
"49",2021-01-01,5.45996750818157,"Inputs"
"50",2022-01-01,6.45003268319167,"Inputs"
"51",2023-01-01,11.7371546870973,"Inputs"
"52",2024-01-01,9.04650670682922,"Inputs"
"53",2025-01-01,6.36364735268301,"Inputs"
"54",2026-01-01,6.99850532650366,"Inputs"
"55",2000-01-01,16.3369539918702,"Production & Processing"
"56",2001-01-01,25.7563497497172,"Production & Processing"
"57",2002-01-01,16.1151840902255,"Production & Processing"
"58",2003-01-01,12.0962960013358,"Production & Processing"
"59",2004-01-01,9.7034125791556,"Production & Processing"
"60",2005-01-01,8.34171434178381,"Production & Processing"
"61",2006-01-01,8.31896311235282,"Production & Processing"
"62",2007-01-01,7.16466658026619,"Production & Processing"
"63",2008-01-01,8.51476545996949,"Production & Processing"
"64",2009-01-01,10.5995927646031,"Production & Processing"
"65",2010-01-01,6.69515279341521,"Production & Processing"
"66",2011-01-01,5.45678109127781,"Production & Processing"
"67",2012-01-01,7.25002992460714,"Production & Processing"
"68",2013-01-01,6.95067335928518,"Production & Processing"
"69",2014-01-01,6.04106688990074,"Production & Processing"
"70",2015-01-01,5.79645415086902,"Production & Processing"
"71",2016-01-01,5.24165945964856,"Production & Processing"
"72",2017-01-01,4.94757224441864,"Production & Processing"
"73",2018-01-01,5.13545497246185,"Production & Processing"
"74",2019-01-01,5.79048229331826,"Production & Processing"
"75",2020-01-01,7.27512155343209,"Production & Processing"
"76",2021-01-01,5.44288625821516,"Production & Processing"
"77",2022-01-01,6.34738036810204,"Production & Processing"
"78",2023-01-01,6.10728112120855,"Production & Processing"
"79",2024-01-01,6.12328188980226,"Production & Processing"
"80",2025-01-01,5.18577979481673,"Production & Processing"
"81",2026-01-01,5.79438600201297,"Production & Processing"
"82",2000-01-01,15.7633494645604,"Wholesale & Retail"
"83",2001-01-01,16.1244125932717,"Wholesale & Retail"
"84",2002-01-01,14.9367161177648,"Wholesale & Retail"
"85",2003-01-01,12.3797125431851,"Wholesale & Retail"
"86",2004-01-01,12.0924127937674,"Wholesale & Retail"
"87",2005-01-01,10.6851628592684,"Wholesale & Retail"
"88",2006-01-01,9.04939211826422,"Wholesale & Retail"
"89",2007-01-01,7.92563331477638,"Wholesale & Retail"
"90",2008-01-01,11.9757305057626,"Wholesale & Retail"
"91",2009-01-01,13.9882882906588,"Wholesale & Retail"
"92",2010-01-01,9.36826698646832,"Wholesale & Retail"
"93",2011-01-01,8.30445089081163,"Wholesale & Retail"
"94",2012-01-01,10.253340071348,"Wholesale & Retail"
"95",2013-01-01,9.26611285253002,"Wholesale & Retail"
"96",2014-01-01,7.1327897572469,"Wholesale & Retail"
"97",2015-01-01,6.88718045748408,"Wholesale & Retail"
"98",2016-01-01,6.66064696417182,"Wholesale & Retail"
"99",2017-01-01,6.39439238758659,"Wholesale & Retail"
"100",2018-01-01,6.19925608557539,"Wholesale & Retail"
"101",2019-01-01,7.87162530712459,"Wholesale & Retail"
"102",2020-01-01,9.11854867270029,"Wholesale & Retail"
"103",2021-01-01,5.40492576254142,"Wholesale & Retail"
"104",2022-01-01,6.76693915674113,"Wholesale & Retail"
"105",2023-01-01,6.48933195416639,"Wholesale & Retail"
"106",2024-01-01,7.08936437403462,"Wholesale & Retail"
"107",2025-01-01,6.54293038089823,"Wholesale & Retail"
"108",2026-01-01,6.62272711215787,"Wholesale & Retail"
