"","Date","a","Region"
"1",2000,4.02438066003854,"Total"
"2",2001,4.20746629932973,"Total"
"3",2002,3.58089674696223,"Total"
"4",2003,4.17493366372483,"Total"
"5",2004,3.98717114763305,"Total"
"6",2005,4.89010224664394,"Total"
"7",2006,5.14961631117536,"Total"
"8",2007,5.27417659510532,"Total"
"9",2008,5.50738511031355,"Total"
"10",2009,4.88117848032958,"Total"
"11",2010,5.10187973278174,"Total"
"12",2011,5.74439242100409,"Total"
"13",2012,6.23965901022475,"Total"
"14",2013,5.53100374786803,"Total"
"15",2014,5.24887609040085,"Total"
"16",2015,5.28210360478486,"Total"
"17",2016,5.24163932528587,"Total"
"18",2017,5.52023574773103,"Total"
"19",2018,5.35269379503437,"Total"
"20",2019,4.83843193530658,"Total"
"21",2020,4.73187269515758,"Total"
"22",2021,4.51855830458327,"Total"
"23",2022,5.73892467107147,"Total"
"24",2023,5.55536854253147,"Total"
"25",2024,5.51203836183679,"Total"
"26",2025,5.12548734820061,"Total"
"27",2026,5.04503342576471,"Total"
"28",2000,1.92036739114726,"Developed Asia and Oceanea"
"29",2001,1.51360901805761,"Developed Asia and Oceanea"
"30",2002,1.93634407877336,"Developed Asia and Oceanea"
"31",2003,2.81142857046493,"Developed Asia and Oceanea"
"32",2004,2.46741567188502,"Developed Asia and Oceanea"
"33",2005,3.54542832214438,"Developed Asia and Oceanea"
"34",2006,2.93761604925359,"Developed Asia and Oceanea"
"35",2007,2.88642311353404,"Developed Asia and Oceanea"
"36",2008,2.55953875939892,"Developed Asia and Oceanea"
"37",2009,2.06990217921972,"Developed Asia and Oceanea"
"38",2010,2.7507121449121,"Developed Asia and Oceanea"
"39",2011,2.80665839564148,"Developed Asia and Oceanea"
"40",2012,3.23050910894261,"Developed Asia and Oceanea"
"41",2013,3.72149802711139,"Developed Asia and Oceanea"
"42",2014,3.93020565211386,"Developed Asia and Oceanea"
"43",2015,2.77614212914907,"Developed Asia and Oceanea"
"44",2016,3.11132923684863,"Developed Asia and Oceanea"
"45",2017,3.9272139253686,"Developed Asia and Oceanea"
"46",2018,4.20159989975277,"Developed Asia and Oceanea"
"47",2019,3.47106665299239,"Developed Asia and Oceanea"
"48",2020,3.26382790018397,"Developed Asia and Oceanea"
"49",2021,3.25676841485461,"Developed Asia and Oceanea"
