"","Date","a","Segment"
"1",2011-01-01,7.08119806282965,"Total"
"2",2012-01-01,7.86464062774083,"Total"
"3",2013-01-01,7.5717976002373,"Total"
"4",2014-01-01,7.3043753941379,"Total"
"5",2015-01-01,7.00689443202865,"Total"
"6",2016-01-01,6.59809254806555,"Total"
"7",2017-01-01,6.40098182770921,"Total"
"8",2018-01-01,6.59908293769769,"Total"
"9",2019-01-01,6.94810677299123,"Total"
"10",2020-01-01,6.63901623556099,"Total"
"11",2021-01-01,5.56772230828884,"Total"
"12",2022-01-01,5.75526323847152,"Total"
"13",2023-01-01,6.86649249218268,"Total"
"14",2024-01-01,6.60446030488986,"Total"
"15",2025-01-01,6.49717975089947,"Total"
"16",2026-01-01,6.48830352643725,"Total"
"17",2011-01-01,6.75944087780566,"Inputs"
"18",2012-01-01,8.40285555750821,"Inputs"
"19",2013-01-01,8.84623929135232,"Inputs"
"20",2014-01-01,7.67534048155794,"Inputs"
"21",2015-01-01,6.91939913276675,"Inputs"
"22",2016-01-01,5.64057597258703,"Inputs"
"23",2017-01-01,4.80295683804819,"Inputs"
"24",2018-01-01,3.05221429448206,"Inputs"
"25",2019-01-01,4.12347465409089,"Inputs"
"26",2020-01-01,6.01209576632141,"Inputs"
"27",2021-01-01,6.45990103677768,"Inputs"
"28",2022-01-01,6.23681698180611,"Inputs"
"29",2023-01-01,8.87598899835857,"Inputs"
"30",2024-01-01,10.085544598448,"Inputs"
"31",2025-01-01,6.08825741653011,"Inputs"
"32",2026-01-01,5.22033909286473,"Inputs"
"33",2011-01-01,6.95558167159736,"Production & Processing"
"34",2012-01-01,7.66265261162519,"Production & Processing"
"35",2013-01-01,7.15414914024459,"Production & Processing"
"36",2014-01-01,7.21162504467509,"Production & Processing"
"37",2015-01-01,7.04519174234394,"Production & Processing"
"38",2016-01-01,6.76309597219159,"Production & Processing"
"39",2017-01-01,6.75155591430923,"Production & Processing"
"40",2018-01-01,7.08004895076778,"Production & Processing"
"41",2019-01-01,7.33556550089515,"Production & Processing"
"42",2020-01-01,6.56919922377028,"Production & Processing"
"43",2021-01-01,5.84804316888703,"Production & Processing"
"44",2022-01-01,6.25473727030157,"Production & Processing"
"45",2023-01-01,6.4486470693667,"Production & Processing"
"46",2024-01-01,5.95109894957743,"Production & Processing"
"47",2025-01-01,6.4787756065189,"Production & Processing"
"48",2026-01-01,6.77025377365342,"Production & Processing"
"49",2011-01-01,7.57873673036554,"Wholesale & Retail"
"50",2012-01-01,8.09678600543341,"Wholesale & Retail"
"51",2013-01-01,7.94064013819305,"Wholesale & Retail"
"52",2014-01-01,7.35076872408492,"Wholesale & Retail"
"53",2015-01-01,6.95558268641271,"Wholesale & Retail"
"54",2016-01-01,6.68438727548263,"Wholesale & Retail"
"55",2017-01-01,6.35209526656933,"Wholesale & Retail"
"56",2018-01-01,7.29677610674512,"Wholesale & Retail"
"57",2019-01-01,7.48573682535835,"Wholesale & Retail"
"58",2020-01-01,7.15065574876952,"Wholesale & Retail"
"59",2021-01-01,4.38396153687796,"Wholesale & Retail"
"60",2022-01-01,4.2307645809732,"Wholesale & Retail"
"61",2023-01-01,6.84205158917869,"Wholesale & Retail"
"62",2024-01-01,6.38466427439536,"Wholesale & Retail"
"63",2025-01-01,6.7622556481202,"Wholesale & Retail"
"64",2026-01-01,6.45262491755296,"Wholesale & Retail"
