"","Date","a","Region"
"1",2000-01-01,8.63055330217151,"Total"
"2",2001-01-01,18.9801651086077,"Total"
"3",2002-01-01,2.52220091977679,"Total"
"4",2003-01-01,2.48057144670862,"Total"
"5",2004-01-01,8.66086485009625,"Total"
"6",2005-01-01,7.58998817198064,"Total"
"7",2006-01-01,8.52432687546291,"Total"
"8",2007-01-01,8.5938729353929,"Total"
"9",2008-01-01,14.4046283112369,"Total"
"10",2009-01-01,-3.2694360181237,"Total"
"11",2010-01-01,7.01473070651155,"Total"
"12",2011-01-01,9.69295814598689,"Total"
"13",2012-01-01,10.7884665966887,"Total"
"14",2013-01-01,8.94209220466382,"Total"
"15",2014-01-01,10.867941238629,"Total"
"16",2015-01-01,14.7735581002737,"Total"
"17",2016-01-01,14.445210346624,"Total"
"18",2017-01-01,-22.9830686222563,"Total"
"19",2018-01-01,8.19561608109464,"Total"
"20",2019-01-01,12.7653301777788,"Total"
"21",2020-01-01,8.31341043205602,"Total"
"22",2021-01-01,8.86767778743955,"Total"
"23",2022-01-01,8.68166989203552,"Total"
"24",2023-01-01,9.90147561180656,"Total"
"25",2024-01-01,7.99335123066901,"Total"
"26",2025-01-01,8.43589734362888,"Total"
"27",2026-01-01,9.17278994044075,"Total"
"28",2000-01-01,3.97654148232517,"Developed Asia and Oceanea"
"29",2001-01-01,4.20982326364801,"Developed Asia and Oceanea"
"30",2002-01-01,4.20440128734248,"Developed Asia and Oceanea"
"31",2003-01-01,0.0758471599316298,"Developed Asia and Oceanea"
"32",2004-01-01,10.4101949712111,"Developed Asia and Oceanea"
"33",2005-01-01,4.70399490063213,"Developed Asia and Oceanea"
"34",2006-01-01,6.11292738633439,"Developed Asia and Oceanea"
"35",2007-01-01,0.867594532752198,"Developed Asia and Oceanea"
"36",2008-01-01,5.71676126243909,"Developed Asia and Oceanea"
"37",2009-01-01,4.0410279617391,"Developed Asia and Oceanea"
"38",2010-01-01,3.23843098715597,"Developed Asia and Oceanea"
"39",2011-01-01,4.28277419386899,"Developed Asia and Oceanea"
"40",2012-01-01,4.19191219582704,"Developed Asia and Oceanea"
"41",2013-01-01,3.18338438966355,"Developed Asia and Oceanea"
"42",2014-01-01,2.14927853135008,"Developed Asia and Oceanea"
"43",2015-01-01,3.11880856693081,"Developed Asia and Oceanea"
"44",2016-01-01,2.70815891133581,"Developed Asia and Oceanea"
"45",2017-01-01,3.51252584389951,"Developed Asia and Oceanea"
"46",2018-01-01,3.07130401196076,"Developed Asia and Oceanea"
"47",2019-01-01,4.26205056469124,"Developed Asia and Oceanea"
"48",2020-01-01,3.09640197945648,"Developed Asia and Oceanea"
"49",2021-01-01,3.10543731297886,"Developed Asia and Oceanea"
"50",2022-01-01,3.30971768998974,"Developed Asia and Oceanea"
"51",2023-01-01,5.4906925419123,"Developed Asia and Oceanea"
"52",2024-01-01,2.52603808303796,"Developed Asia and Oceanea"
"53",2025-01-01,5.05436125770863,"Developed Asia and Oceanea"
"54",2026-01-01,12.2759519959154,"Developed Asia and Oceanea"
"55",2000-01-01,17.4972600725757,"Developed Europe"
"56",2001-01-01,6.52141165777072,"Developed Europe"
"57",2002-01-01,-1.2098480916476,"Developed Europe"
"58",2003-01-01,2.67077236064941,"Developed Europe"
"59",2004-01-01,5.23543825938035,"Developed Europe"
"60",2005-01-01,4.69788538307434,"Developed Europe"
"61",2006-01-01,8.02356623106131,"Developed Europe"
"62",2007-01-01,9.07267699031773,"Developed Europe"
"63",2008-01-01,11.484255673721,"Developed Europe"
"64",2009-01-01,8.76567004083718,"Developed Europe"
"65",2010-01-01,6.0154186604306,"Developed Europe"
"66",2011-01-01,7.1265299930611,"Developed Europe"
"67",2012-01-01,8.61071842794515,"Developed Europe"
"68",2013-01-01,6.4487050567299,"Developed Europe"
"69",2014-01-01,6.01290813494902,"Developed Europe"
"70",2015-01-01,8.71160406954446,"Developed Europe"
"71",2016-01-01,6.44782950381838,"Developed Europe"
"72",2017-01-01,5.65036154361307,"Developed Europe"
"73",2018-01-01,4.9192656636233,"Developed Europe"
"74",2019-01-01,6.83220680740317,"Developed Europe"
"75",2020-01-01,14.478361044826,"Developed Europe"
"76",2021-01-01,8.93214584225486,"Developed Europe"
"77",2022-01-01,7.39445297248045,"Developed Europe"
"78",2023-01-01,9.97344040197715,"Developed Europe"
"79",2024-01-01,8.93954035909724,"Developed Europe"
"80",2025-01-01,11.3887697109723,"Developed Europe"
"81",2026-01-01,10.3675164403294,"Developed Europe"
"82",2000-01-01,-4.54506776809367,"Developing and Emerging Economies"
"83",2001-01-01,1.74380281179817,"Developing and Emerging Economies"
"84",2002-01-01,7.50935970903787,"Developing and Emerging Economies"
"85",2003-01-01,7.22475252827058,"Developing and Emerging Economies"
"86",2004-01-01,6.30825117368336,"Developing and Emerging Economies"
"87",2005-01-01,7.11604612740257,"Developing and Emerging Economies"
"88",2006-01-01,5.86012888936097,"Developing and Emerging Economies"
"89",2007-01-01,0.117765224876018,"Developing and Emerging Economies"
"90",2008-01-01,1.73010853140098,"Developing and Emerging Economies"
"91",2009-01-01,1.41096145185822,"Developing and Emerging Economies"
"92",2010-01-01,5.40853410938335,"Developing and Emerging Economies"
"93",2011-01-01,6.37923179459088,"Developing and Emerging Economies"
"94",2012-01-01,5.07807423107133,"Developing and Emerging Economies"
"95",2013-01-01,4.03717474938988,"Developing and Emerging Economies"
"96",2014-01-01,8.13836557431111,"Developing and Emerging Economies"
"97",2015-01-01,4.27892790589112,"Developing and Emerging Economies"
"98",2016-01-01,10.926991102366,"Developing and Emerging Economies"
"99",2017-01-01,4.49835997464015,"Developing and Emerging Economies"
"100",2018-01-01,5.17600734450831,"Developing and Emerging Economies"
"101",2019-01-01,7.04821843793915,"Developing and Emerging Economies"
"102",2020-01-01,9.77031918455079,"Developing and Emerging Economies"
"103",2021-01-01,11.8938509146052,"Developing and Emerging Economies"
"104",2022-01-01,11.6626189518427,"Developing and Emerging Economies"
"105",2023-01-01,7.10949426707891,"Developing and Emerging Economies"
"106",2024-01-01,8.68472657714284,"Developing and Emerging Economies"
"107",2025-01-01,3.61746482214415,"Developing and Emerging Economies"
"108",2026-01-01,12.7988490649118,"Developing and Emerging Economies"
"109",2000-01-01,17.0486771423848,"North America"
"110",2001-01-01,48.2878850344266,"North America"
"111",2002-01-01,-0.150518299234351,"North America"
"112",2003-01-01,1.68419410750626,"North America"
"113",2004-01-01,10.3494034464443,"North America"
"114",2005-01-01,11.6080063290981,"North America"
"115",2006-01-01,12.2897067055696,"North America"
"116",2007-01-01,21.1639048452034,"North America"
"117",2008-01-01,33.0870837341732,"North America"
"118",2009-01-01,-20.3588023030948,"North America"
"119",2010-01-01,12.1363823290356,"North America"
"120",2011-01-01,18.1083922566424,"North America"
"121",2012-01-01,21.1874560974628,"North America"
"122",2013-01-01,17.9193751570954,"North America"
"123",2014-01-01,22.4098559605573,"North America"
"124",2015-01-01,31.5049449392424,"North America"
"125",2016-01-01,29.8037610686851,"North America"
"126",2017-01-01,-73.4435739186123,"North America"
"127",2018-01-01,15.5446464481524,"North America"
"128",2019-01-01,24.8201567328573,"North America"
"129",2020-01-01,7.62179920485315,"North America"
"130",2021-01-01,11.5388217071216,"North America"
"131",2022-01-01,11.8021519429894,"North America"
"132",2023-01-01,14.770000506759,"North America"
"133",2024-01-01,11.0146862192268,"North America"
"134",2025-01-01,11.9915481053171,"North America"
"135",2026-01-01,4.38770159515629,"North America"
